Location,Address,City,STATE,Zip,Manufacturer,Year Built
Deerfield Beach Elementary,650 Ne 1St St/Deerfield Bch Ele,Deerfield Beach,FL,33441,York Shipley,1959
Ely High School,1201 Nw 6Th Ave/Rm 276/Ely Hs,Pompano,FL,33060,B E & S Continental,1959
G.P. Woods Memorial Hospital/D Jones,5847 S Sr 31/Van Buren Blr Rm,Arcadia,FL,34266,Superior/Osage,1959
University Of South Floridage,5700 N Tamiami Trail/Viking Hall Blrm,Sarasota,FL,34243,Ajax,1959
Naranja Elementary,13990 Sw 264Th/Naranja Es,Miami,FL,33032,York Shipley,1959
Miami Macarthur S Senior,11035 Sw 84 St/Miami Mcarthur South  Hs,Miami,FL,33173,Atlantic,1959
Treadway Elementary,10619 Treadway Sch.Rd/Blr Rm,Leesburg,FL,34788,Weil Mclain,1959
Jacksonville Telcom Center,421 W Church St/9Th Fl,Jacksonville,FL,32202,Cleaver Brooks,1959
Northside Elementary,120 Nw 11Th St/Northside Es,Ft. Lauderdale,FL,33304,York Shipley,1959
Csx Transportation,500 Water St/Blr Rm,Jacksonville,FL,32202,Titusville,1959
Csx Transportation,500 Water St/Blr Rm,Jacksonville,FL,32202,Titusville,1959
Csx Corportation,500 Water St/Blr Rm,Jacksonville,FL,32202,Titusville,1959
Wilton Manors Elementary,2401 Nw 3 Ave/Blr Rm,Ft. Lauderdale,FL,33305,York Shipley,1959
Ward Highland Elementary,537 Se 36 Ave/Main Blr Rm,Ocala,FL,34471,Cleaver Brooks,1959
City Hall Annex/Blr Rm,220 East Bay St/City Hall Annex,Jacksonville,FL,32202,Titusville,1959
City Hall Annex,220 East Bay St/City Hall Annex,Jacksonville,FL,32202,Titusville,1959
Jacksonville Coliseum/Engineering,1145 E Adams St/Blr Rm,Jacksonville,FL,32202,Cleaver Brooks,1959
Jacksonville Coliseum/Engineering,1145 E Adams St/Blr Rm,Jacksonville,FL,32205,Cleaver Brooks,1959
Augusta Raa Middle School,401 W Tharpe St/Blrm/Augusta Raa Mid,Tallahassee,FL,32303,Compak,1959
Augusta Raa Middle School,401 W Tharpe St/Blrm/Augusta Raa Mid,Tallahassee,FL,32303,Compak,1959
Jupiter Elementary,200 S Loxahatchee Dr/Blr Rm,Jupiter,FL,33458,Weil Mclain,1959
Atlantic High,2501 Seacrest Blvd/Bldg 12-103,Delray Beach,FL,33444,Ajax,1959
Atlantic High,2501 Seacrest Blvd/Mech Rm Band So,Delray Beach,FL,33444,Rite,1959
Rolling Green Elementary,550 Miner Road/Blr Rm,Boynton Beach,FL,33435,Kewanee,1959
Scott Lake Elementary,1160 Nw 175 Th St/Scott Lake Es,Miami,FL,33169,Cleaver Brooks,1959
Holy Name Monastery,12203 Wichers Rd/Basement,St. Leo,FL,33574,Cleaver Brooks,1959
Hollywood Hills Elementary,3501 Taft St/Hollywd Hills Es,Hollywood,FL,33021,B E & S,1959
Peters Elementary School,851 Nw 68Th Ave/Mech/Peters Es,Plantation,FL,33317,York Shipley,1959
Rosenwald Middle School,1310 E 11Th Street/Blr Rm,Panama City,FL,32401,Kewanee,1959
Alumni Village Child Development Ctr,Building 169 Furlong Dr/Blr Rm,Tallahassee,FL,32306,Aldrich (#14 Not 16),1959
Myrtle Grove Baptist Church,5920 Lillian Hwy/Blr Rm,Pensacola,FL,32506,Rite,1959
Lake Region Yacht & Country Club,4200 Country Club Rd S/Blr Rm 2Nd Flr,Winter Haven,FL,33881,Cyclotherm,1959
North Glades Elementary,5000 Nw 177 St/N Glades Es,Miami,FL,33055,Cleaver Brooks,1959
Lake Highland Preparatory School,741 N Mills Street/Blrm/Maint,Orlando,FL,32803,Weil Mclain,1959
Lake Alfred Elementary School,550 E Cummings Ave/Blr Rm,Lake Alfred,FL,33850,Kewanee,1959
